chapter_id,chapter_name,section_id,section_name,req_id,req_description,level1,level2,level3,cwe,nist
V1,Codificação e Sanitização,V1.2,Prevenção de Injeção,V1.2.9,Verifique se a aplicação escapa caracteres especiais em expressões regulares (geralmente usando uma barra invertida) para evitar que sejam mal interpretados como metacaracteres.,,✓,✓,,
V1,Codificação e Sanitização,V1.2,Prevenção de Injeção,V1.2.10,"Verifique se a aplicação está protegida contra injeção de CSV e Fórmulas. A aplicação deve seguir as regras de escaping definidas na RFC 4180 seções 2.6 e 2.7 ao exportar conteúdo CSV. Adicionalmente, ao exportar para CSV ou outros formatos de planilha (como XLS, XLSX ou ODF), caracteres especiais (incluindo '=', '+', '-', '@', '\t' (tab) e '\0' (caractere nulo)) devem ser escapados com uma aspa simples se aparecerem como o primeiro caractere em um valor de campo.",,,✓,,
V1,Codificação e Sanitização,V1.3,Sanitização,V1.3.1,Verifique se todas as entradas HTML não confiáveis provenientes de editores WYSIWYG ou similares são sanitizadas usando uma biblioteca de sanitização HTML conhecida e segura ou um recurso de framework.,✓,✓,✓,,
V1,Codificação e Sanitização,V1.3,Sanitização,V1.3.2,"Verifique se a aplicação evita o uso de eval() ou de outros recursos de execução dinâmica de código, como a Spring Expression Language (SpEL). Onde não houver alternativa, qualquer entrada do usuário a ser incluída deve ser sanitizada antes de ser executada.",✓,✓,✓,,
V1,Codificação e Sanitização,V1.3,Sanitização,V1.3.3,"Verifique se os dados que estão sendo passados para um contexto potencialmente perigoso são sanitizados previamente para aplicar medidas de segurança, como permitir apenas caracteres seguros para esse contexto e cortar entradas muito longas (trimming).",,✓,✓,,
V1,Codificação e Sanitização,V1.3,Sanitização,V1.3.4,"Verifique se o conteúdo de script Scalable Vector Graphics (SVG) fornecido pelo usuário é validado ou sanitizado para conter apenas tags e atributos (como gráficos de desenho) que são seguros para a aplicação, por exemplo, não conter scripts e foreignObject.",,✓,✓,,
V1,Codificação e Sanitização,V1.3,Sanitização,V1.3.5,"Verifique se a aplicação sanitiza ou desabilita o conteúdo fornecido pelo usuário para linguagens de template com suporte a scripts ou expressões, como Markdown, folhas de estilo CSS ou XSL, BBCode ou similares.",,✓,✓,,
V1,Codificação e Sanitização,V1.3,Sanitização,V1.3.6,"Verifique se a aplicação protege contra ataques de Falsificação de Solicitação do Lado do Servidor (Server-side Request Forgery - SSRF), validando dados não confiáveis em relação a uma lista de permissões (allowlist) de protocolos, domínios, caminhos e portas, e sanitizando caracteres potencialmente perigosos antes de usar os dados para chamar outro serviço.",,✓,✓,,
V1,Codificação e Sanitização,V1.3,Sanitização,V1.3.7,"Verifique se a aplicação protege contra ataques de injeção de template não permitindo que templates sejam criados com base em entradas não confiáveis. Onde não houver alternativa, qualquer entrada não confiável sendo incluída dinamicamente durante a criação do template deve ser sanitizada ou estritamente validada.",,✓,✓,,
V1,Codificação e Sanitização,V1.3,Sanitização,V1.3.8,Verifique se a aplicação sanitiza apropriadamente as entradas não confiáveis antes de usá-las em consultas do Java Naming and Directory Interface (JNDI) e se o JNDI está configurado com segurança para evitar ataques de injeção JNDI.,,✓,✓,,
V1,Codificação e Sanitização,V1.3,Sanitização,V1.3.9,Verifique se a aplicação sanitiza o conteúdo antes de ser enviado ao memcache para prevenir ataques de injeção.,,✓,✓,,
V1,Codificação e Sanitização,V1.3,Sanitização,V1.3.10,"Verifique se as format strings (strings de formatação), que podem ser resolvidas de maneira inesperada ou maliciosa quando usadas, são sanitizadas antes de serem processadas.",,✓,✓,,
V1,Codificação e Sanitização,V1.3,Sanitização,V1.3.11,Verifique se a aplicação sanitiza a entrada do usuário antes de passá-la aos sistemas de e-mail para proteger contra injeção SMTP ou IMAP.,,✓,✓,,
V1,Codificação e Sanitização,V1.3,Sanitização,V1.3.12,Verifique se as expressões regulares estão livres de elementos que causam retrocesso exponencial (exponential backtracking) e certifique-se de que a entrada não confiável seja sanitizada para mitigar ataques de ReDoS ou Runaway Regex.,,,✓,,
V1,Codificação e Sanitização,V1.4,"Memória, String e Código Não Gerenciado (Unmanaged Code)",V1.4.1,"Verifique se a aplicação usa aritmética de ponteiros, cópia de memória mais segura e strings com segurança de memória para detectar ou prevenir estouros de pilha (stack), buffer ou heap.",,✓,✓,,
V1,Codificação e Sanitização,V1.4,"Memória, String e Código Não Gerenciado (Unmanaged Code)",V1.4.2,"Verifique se técnicas de validação de sinal, intervalo e entrada são usadas para evitar estouros de inteiros (integer overflows).",,✓,✓,,
V1,Codificação e Sanitização,V1.4,"Memória, String e Código Não Gerenciado (Unmanaged Code)",V1.4.3,Verifique se a memória e os recursos alocados dinamicamente são liberados e se as referências ou ponteiros para a memória liberada são removidos ou definidos como nulos (null) para evitar ponteiros pendentes (dangling pointers) e vulnerabilidades de uso após a liberação (use-after-free).,,✓,✓,,
V1,Codificação e Sanitização,V1.5,Desserialização Segura,V1.5.1,"Verifique se a aplicação configura parsers XML para usar uma configuração restritiva e se recursos inseguros, como a resolução de entidades externas, estão desabilitados para prevenir ataques de Entidade Externa XML (XML eXternal Entity - XXE).",✓,✓,✓,,
V1,Codificação e Sanitização,V1.5,Desserialização Segura,V1.5.2,"Verifique se a desserialização de dados não confiáveis impõe tratamento seguro de entrada, como o uso de uma lista de permissões (allowlist) de tipos de objetos ou a restrição de tipos de objetos definidos pelo cliente, para evitar ataques de desserialização. Mecanismos de desserialização explicitamente definidos como inseguros não devem ser usados com entradas não confiáveis.",,✓,✓,,
V1,Codificação e Sanitização,V1.5,Desserialização Segura,V1.5.3,"Verifique se diferentes parsers usados na aplicação para o mesmo tipo de dado (por exemplo, parsers JSON, parsers XML, parsers de URL), realizam o parsing de forma consistente e usam o mesmo mecanismo de codificação de caracteres para evitar problemas como vulnerabilidades de Interoperabilidade JSON ou comportamento diferente na análise de URI ou arquivos sendo explorados em ataques de Inclusão Remota de Arquivo (RFI) ou Falsificação de Solicitação do Lado do Servidor (SSRF).",,,✓,,
V2,Validação e Lógica de Negócios,V2.1,Documentação de Validação e Lógica de Negócios,V2.1.1,"Verifique se a documentação da aplicação define regras de validação de entrada para saber como verificar a validade de itens de dados em relação a uma estrutura esperada. Pode ser formatos de dados comuns, como números de cartão de crédito, endereços de e-mail, números de telefone, ou pode ser um formato de dados interno.",✓,✓,✓,,
V2,Validação e Lógica de Negócios,V2.1,Documentação de Validação e Lógica de Negócios,V2.1.2,"Verifique se a documentação da aplicação define como validar a consistência lógica e contextual de itens de dados combinados, como verificar se o bairro e o CEP (ZIP code) correspondem.",,✓,✓,,
V2,Validação e Lógica de Negócios,V2.1,Documentação de Validação e Lógica de Negócios,V2.1.3,"Verifique se as expectativas em relação aos limites da lógica de negócios e às validações estão documentadas, incluindo tanto as restrições por usuário quanto as aplicadas globalmente em toda a aplicação.",,✓,✓,,
V2,Validação e Lógica de Negócios,V2.2,Validação de Entrada,V2.2.1,"Verifique se a entrada é validada para impor expectativas funcionais ou de negócios para aquela entrada. Isso deve usar validação positiva em relação a uma lista de permissões (allowlist) de valores, padrões e intervalos, ou ser baseado na comparação da entrada com uma estrutura esperada e limites lógicos de acordo com regras predefinidas. Para L1, o foco pode ser na entrada que é usada para tomar decisões específicas de negócios ou segurança. Para L2 e superior, isso deve se aplicar a todas as entradas.",✓,✓,✓,,
V2,Validação e Lógica de Negócios,V2.2,Validação de Entrada,V2.2.2,"Verifique se a aplicação é projetada para aplicar a validação de entrada em uma camada de serviço confiável. Embora a validação no lado do cliente (client-side validation) melhore a usabilidade e deva ser incentivada, não se deve confiar nela como um controle de segurança.",✓,✓,✓,,
V2,Validação e Lógica de Negócios,V2.2,Validação de Entrada,V2.2.3,Verifique se a aplicação garante que combinações de itens de dados relacionados sejam razoáveis de acordo com as regras predefinidas.,,✓,✓,,
V2,Validação e Lógica de Negócios,V2.3,Segurança da Lógica de Negócios,V2.3.1,Verifique se a aplicação processará fluxos da lógica de negócios para o mesmo usuário apenas na ordem sequencial de etapas esperada e sem pular etapas.,✓,✓,✓,,
V2,Validação e Lógica de Negócios,V2.3,Segurança da Lógica de Negócios,V2.3.2,Verifique se os limites da lógica de negócios são implementados conforme a documentação da aplicação para evitar que falhas da lógica de negócios sejam exploradas.,,✓,✓,,
V2,Validação e Lógica de Negócios,V2.3,Segurança da Lógica de Negócios,V2.3.3,"Verifique se as transações estão sendo usadas no nível da lógica de negócios, de tal forma que uma operação da lógica de negócios tenha sucesso na sua totalidade ou seja revertida (rolled back) para o estado correto anterior.",,✓,✓,,
V2,Validação e Lógica de Negócios,V2.3,Segurança da Lógica de Negócios,V2.3.4,Verifique se mecanismos de bloqueio (locking) no nível da lógica de negócios são usados para garantir que recursos de quantidade limitada (como assentos de teatro ou horários de entrega) não possam ser reservados duplamente pela manipulação da lógica da aplicação.,,✓,✓,,
V2,Validação e Lógica de Negócios,V2.3,Segurança da Lógica de Negócios,V2.3.5,"Verifique se fluxos de lógica de negócios de alto valor exigem aprovação multiusuário para evitar ações não autorizadas ou acidentais. Isso pode incluir, mas não se limita a, grandes transferências financeiras, aprovações de contratos, acesso a informações confidenciais ou anulações de segurança (safety overrides) na manufatura.",,,✓,,
V2,Validação e Lógica de Negócios,V2.4,Antiautomação,V2.4.1,"Verifique se há controles de antiautomação em vigor para proteger contra chamadas excessivas a funções da aplicação que podem levar a exfiltração de dados, criação de dados lixo (garbage-data), esgotamento de cotas, violações de limite de taxa (rate-limit), negação de serviço ou uso excessivo de recursos caros.",,✓,✓,,
V2,Validação e Lógica de Negócios,V2.4,Antiautomação,V2.4.2,"Verifique se os fluxos da lógica de negócios requerem temporização humana realista, evitando envios de transações excessivamente rápidos.",,,✓,,
V3,Segurança de Frontend Web,V3.1,Documentação de Segurança de Frontend Web,V3.1.1,"Verifique se a documentação da aplicação declara os recursos de segurança esperados que os navegadores que usam a aplicação devem suportar (como HTTPS, HTTP Strict Transport Security (HSTS), Content Security Policy (CSP) e outros mecanismos de segurança HTTP relevantes). Deve também definir como a aplicação deve se comportar quando alguns desses recursos não estiverem disponíveis (como avisar o usuário ou bloquear o acesso).",,,✓,,
V3,Segurança de Frontend Web,V3.2,Interpretação Não Intencional de Conteúdo,V3.2.1,"Verifique se há controles de segurança em vigor para evitar que navegadores renderizem conteúdo ou funcionalidades de respostas HTTP em um contexto incorreto (por exemplo, quando uma API, um arquivo enviado pelo usuário ou outro recurso é solicitado diretamente). Possíveis controles poderiam incluir: não servir o conteúdo a menos que campos de cabeçalho da requisição HTTP (como Sec-Fetch-\*) indiquem que é o contexto correto, usar a diretiva sandbox do campo de cabeçalho Content-Security-Policy ou usar o tipo de disposição attachment no campo de cabeçalho Content-Disposition.",✓,✓,✓,,
V3,Segurança de Frontend Web,V3.2,Interpretação Não Intencional de Conteúdo,V3.2.2,"Verifique se o conteúdo que deve ser exibido como texto, e não renderizado como HTML, é processado usando funções de renderização seguras (como createTextNode ou textContent) para evitar a execução não intencional de conteúdo como HTML ou JavaScript.",✓,✓,✓,,
V3,Segurança de Frontend Web,V3.2,Interpretação Não Intencional de Conteúdo,V3.2.3,"Verifique se a aplicação evita a sobrescrita do DOM (DOM clobbering) ao usar JavaScript no lado do cliente (client-side), empregando declarações explícitas de variáveis, realizando verificação estrita de tipo, evitando armazenar variáveis globais no objeto document e implementando isolamento de namespace.",,,✓,,
V3,Segurança de Frontend Web,V3.3,Configuração de Cookies,V3.3.1,"Verifique se os cookies possuem o atributo 'Secure' definido, e caso o prefixo '\__Host-' não seja usado no nome do cookie, o prefixo '__Secure-' deve ser usado para o nome do cookie.",✓,✓,✓,,
V3,Segurança de Frontend Web,V3.3,Configuração de Cookies,V3.3.2,"Verifique se o valor do atributo 'SameSite' de cada cookie é configurado de acordo com o propósito do cookie, para limitar a exposição a ataques de distorção de interface de usuário (user interface redress) e ataques de falsificação de requisição baseados em navegador, comumente conhecidos como falsificação de requisição entre sites (Cross-Site Request Forgery - CSRF).",,✓,✓,,
V3,Segurança de Frontend Web,V3.3,Configuração de Cookies,V3.3.3,"Verifique se os cookies possuem o prefixo '__Host-' para o nome do cookie, a menos que sejam explicitamente projetados para serem compartilhados com outros hosts.",,✓,✓,,
V3,Segurança de Frontend Web,V3.3,Configuração de Cookies,V3.3.4,"Verifique se o valor de um cookie não deve ser acessível a scripts do lado do cliente (como um token de sessão), o cookie deve ter o atributo 'HttpOnly' definido e o mesmo valor (ex. token de sessão) deve ser transferido ao cliente apenas através do campo de cabeçalho 'Set-Cookie'.",,✓,✓,,
V3,Segurança de Frontend Web,V3.3,Configuração de Cookies,V3.3.5,"Verifique se quando a aplicação grava um cookie, o comprimento combinado do nome e do valor do cookie não ultrapassa 4096 bytes. Cookies excessivamente grandes não serão armazenados pelo navegador e, portanto, não serão enviados com requisições, impedindo o usuário de utilizar as funcionalidades da aplicação que dependem desse cookie.",,,✓,,
V3,Segurança de Frontend Web,V3.4,Cabeçalhos de Mecanismos de Segurança do Navegador,V3.4.1,"Verifique se o campo de cabeçalho Strict-Transport-Security está incluído em todas as respostas para forçar uma política HTTP Strict Transport Security (HSTS). A validade máxima (maximum age) de pelo menos 1 ano deve ser definida e, para L2 e superior, a política também deve se aplicar a todos os subdomínios.",✓,✓,✓,,
V3,Segurança de Frontend Web,V3.4,Cabeçalhos de Mecanismos de Segurança do Navegador,V3.4.2,"Verifique se o campo de cabeçalho Cross-Origin Resource Sharing (CORS) Access-Control-Allow-Origin possui um valor fixo atribuído pela aplicação ou, se o valor do campo de cabeçalho Origin da requisição HTTP for usado, ele é validado com base em uma lista de permissões (allowlist) de origens confiáveis. Quando 'Access-Control-Allow-Origin: *' precisar ser usado, verifique se a resposta não inclui informações sensíveis.",✓,✓,✓,,
V3,Segurança de Frontend Web,V3.4,Cabeçalhos de Mecanismos de Segurança do Navegador,V3.4.3,"Verifique se as respostas HTTP incluem um campo de cabeçalho de resposta Content-Security-Policy que define diretivas para garantir que o navegador apenas carregue e execute conteúdos ou recursos confiáveis, a fim de limitar a execução de JavaScript malicioso. Como mínimo, uma política global deve ser usada, a qual inclui as diretivas object-src 'none' e base-uri 'none', e define uma lista de permissões ou usa nonces ou hashes. Para uma aplicação L3, deve ser definida uma política por resposta com nonces ou hashes.",,✓,✓,,
V3,Segurança de Frontend Web,V3.4,Cabeçalhos de Mecanismos de Segurança do Navegador,V3.4.4,"Verifique se todas as respostas HTTP contêm um campo de cabeçalho 'X-Content-Type-Options: nosniff'. Isso instrui os navegadores a não utilizarem a adivinhação do tipo MIME (content sniffing) para a resposta dada, e exige que o valor do campo de cabeçalho Content-Type da resposta corresponda ao recurso de destino. Por exemplo, a resposta para a requisição de um estilo só é aceita se o Content-Type da resposta for 'text/css'. Isso também permite o uso da funcionalidade Cross-Origin Read Blocking (CORB) pelo navegador.",,✓,✓,,
V3,Segurança de Frontend Web,V3.4,Cabeçalhos de Mecanismos de Segurança do Navegador,V3.4.5,"Verifique se a aplicação define uma política de referência (referrer policy) para evitar o vazamento de dados tecnicamente sensíveis para serviços de terceiros através do campo de cabeçalho HTTP da requisição 'Referer'. Isso pode ser feito usando o campo de cabeçalho de resposta HTTP Referrer-Policy ou por meio de atributos de elemento HTML. Dados sensíveis podem incluir caminho e dados de consulta na URL e, para aplicações internas não públicas, o nome do host (hostname) também.",,✓,✓,,
V3,Segurança de Frontend Web,V3.4,Cabeçalhos de Mecanismos de Segurança do Navegador,V3.4.6,"Verifique se a aplicação web usa a diretiva frame-ancestors do campo de cabeçalho Content-Security-Policy para toda resposta HTTP para garantir que ela não possa ser incorporada (embedded) por padrão, e que a incorporação de recursos específicos seja permitida apenas quando necessário. Note que o campo de cabeçalho X-Frame-Options, embora suportado por navegadores, está obsoleto e não deve ser confiado.",,✓,✓,,
V3,Segurança de Frontend Web,V3.4,Cabeçalhos de Mecanismos de Segurança do Navegador,V3.4.7,Verifique se o campo de cabeçalho Content-Security-Policy especifica um local para relatar violações.,,,✓,,
V3,Segurança de Frontend Web,V3.4,Cabeçalhos de Mecanismos de Segurança do Navegador,V3.4.8,"Verifique se todas as respostas HTTP que iniciam a renderização de um documento (como respostas com Content-Type text/html) incluem o campo de cabeçalho Cross‑Origin‑Opener‑Policy com a diretiva same-origin ou a diretiva same-origin-allow-popups, conforme exigido. Isso evita ataques que abusam do acesso compartilhado a objetos Window, como tabnabbing e contagem de frames (frame counting).",,,✓,,
V3,Segurança de Frontend Web,V3.5,Separação de Origem no Navegador,V3.5.1,"Verifique se, caso a aplicação não dependa do mecanismo de CORS preflight para impedir que requisições cross-origin não permitidas usem funcionalidades sensíveis, essas requisições sejam validadas para garantir que sejam originadas na própria aplicação. Isso pode ser feito usando e validando tokens antifalsificação ou exigindo campos de cabeçalho HTTP adicionais que não sejam campos de cabeçalho listados como seguros (CORS-safelisted). O objetivo é defender contra ataques de falsificação de solicitações baseadas no navegador, conhecidos como falsificação de solicitação entre sites (Cross-Site Request Forgery - CSRF).",✓,✓,✓,,
V3,Segurança de Frontend Web,V3.5,Separação de Origem no Navegador,V3.5.2,"Verifique se, caso a aplicação dependa do mecanismo de CORS preflight para evitar o uso cross-origin não permitido de funcionalidades sensíveis, não seja possível chamar a funcionalidade com uma solicitação que não acione uma requisição de CORS-preflight. Isso pode exigir a verificação dos valores dos campos de cabeçalho de requisição 'Origin' e 'Content-Type' ou o uso de um campo de cabeçalho extra que não seja CORS-safelisted.",✓,✓,✓,,
V3,Segurança de Frontend Web,V3.5,Separação de Origem no Navegador,V3.5.3,"Verifique se as solicitações HTTP a funcionalidades sensíveis usam métodos HTTP apropriados como POST, PUT, PATCH ou DELETE, e não métodos definidos pela especificação HTTP como ""seguros"" (safe), como HEAD, OPTIONS ou GET. Alternativamente, uma validação estrita dos campos de cabeçalho de requisição Sec-Fetch-* pode ser usada para garantir que a solicitação não tenha se originado de uma chamada cross-origin inadequada, de uma solicitação de navegação ou do carregamento de um recurso (como fonte de imagem) onde isso não é esperado.",✓,✓,✓,,
V3,Segurança de Frontend Web,V3.5,Separação de Origem no Navegador,V3.5.4,"Verifique se as aplicações distintas estão hospedadas em hostnames diferentes para aproveitar as restrições fornecidas pela política de mesma origem (same-origin policy), incluindo a forma como os documentos ou scripts carregados por uma origem podem interagir com os recursos de outra origem e as restrições baseadas no hostname dos cookies.",,✓,✓,,
V3,Segurança de Frontend Web,V3.5,Separação de Origem no Navegador,V3.5.5,"Verifique se as mensagens recebidas pela interface postMessage são descartadas caso a origem da mensagem não seja confiável, ou se a sintaxe da mensagem for inválida.",,✓,✓,,
V3,Segurança de Frontend Web,V3.5,Separação de Origem no Navegador,V3.5.6,Verifique se a funcionalidade JSONP não está habilitada em nenhuma parte da aplicação para evitar ataques de Inclusão de Script Entre Sites (Cross-Site Script Inclusion - XSSI).,,,✓,,
V3,Segurança de Frontend Web,V3.5,Separação de Origem no Navegador,V3.5.7,"Verifique se os dados que requerem autorização não estão incluídos em respostas de recursos de script, como arquivos JavaScript, para evitar ataques de Inclusão de Script Entre Sites (Cross-Site Script Inclusion - XSSI).",,,✓,,
V3,Segurança de Frontend Web,V3.5,Separação de Origem no Navegador,V3.5.8,"Verifique se os recursos autenticados (como imagens, vídeos, scripts e outros documentos) podem ser carregados ou incorporados (embedded) em nome do usuário apenas quando pretendido. Isso pode ser alcançado através da validação estrita dos campos de cabeçalho de requisição HTTP Sec-Fetch-* para garantir que a requisição não se originou de uma chamada cross-origin inapropriada, ou através da definição de um campo de cabeçalho restritivo de resposta HTTP Cross-Origin-Resource-Policy para instruir o navegador a bloquear o conteúdo retornado.",,,✓,,
V3,Segurança de Frontend Web,V3.6,Integridade de Recursos Externos,V3.6.1,"Verifique se ativos do lado do cliente (client-side assets), como bibliotecas JavaScript, CSS ou fontes da web (web fonts), são hospedados externamente (ex., em uma Content Delivery Network - CDN) apenas se o recurso for estático e versionado, e se a Integridade de Sub-recurso (Subresource Integrity - SRI) for usada para validar a integridade do ativo. Se isso não for possível, deve haver uma decisão de segurança documentada para justificar isso para cada recurso.",,,✓,,
V3,Segurança de Frontend Web,V3.7,Outras Considerações de Segurança do Navegador,V3.7.1,"Verifique se a aplicação usa apenas tecnologias do lado do cliente (client-side) que ainda são suportadas e consideradas seguras. Exemplos de tecnologias que não atendem a este requisito incluem plug-ins NSAPI, Flash, Shockwave, ActiveX, Silverlight, NACL ou miniaplicativos (applets) Java do lado do cliente.",,✓,✓,,
V3,Segurança de Frontend Web,V3.7,Outras Considerações de Segurança do Navegador,V3.7.2,Verifique se a aplicação redirecionará automaticamente o usuário para um hostname ou domínio diferente (que não seja controlado pela aplicação) apenas se o destino constar em uma lista de permissões (allowlist).,,✓,✓,,
V3,Segurança de Frontend Web,V3.7,Outras Considerações de Segurança do Navegador,V3.7.3,"Verifique se a aplicação exibe uma notificação quando o usuário está sendo redirecionado para um URL fora do controle da aplicação, com a opção de cancelar a navegação.",,,✓,,
V3,Segurança de Frontend Web,V3.7,Outras Considerações de Segurança do Navegador,V3.7.4,"Verifique se o domínio de nível superior da aplicação (ex., site.tld) é adicionado à lista pública de pré-carregamento (preload list) para o HTTP Strict Transport Security (HSTS). Isso garante que o uso de TLS para a aplicação seja integrado diretamente aos principais navegadores, em vez de depender apenas do campo de cabeçalho de resposta Strict-Transport-Security.",,,✓,,
V3,Segurança de Frontend Web,V3.7,Outras Considerações de Segurança do Navegador,V3.7.5,Verifique se a aplicação se comporta conforme o documentado (como avisar o usuário ou bloquear o acesso) caso o navegador usado para acessar a aplicação não suporte os recursos de segurança esperados.,,,✓,,
V4,API e Web Service,V4.1,Segurança Genérica de Web Service,V4.1.1,"Verifique se toda resposta HTTP com um corpo de mensagem contém um campo de cabeçalho Content-Type que corresponda ao conteúdo real da resposta, incluindo o parâmetro charset para especificar uma codificação de caracteres segura (ex., UTF-8, ISO-8859-1) de acordo com os Tipos de Mídia da IANA, como ""text/"", ""/+xml"" e ""/xml"".",✓,✓,✓,,
V4,API e Web Service,V4.1,Segurança Genérica de Web Service,V4.1.2,"Verifique se apenas endpoints voltados ao usuário (destinados ao acesso manual por navegador web) redirecionam automaticamente de HTTP para HTTPS, enquanto outros serviços ou endpoints não implementam redirecionamentos transparentes. Isso serve para evitar uma situação em que um cliente envia erroneamente requisições HTTP não criptografadas, mas como as requisições são redirecionadas automaticamente para HTTPS, o vazamento de dados sensíveis passa despercebido.",,✓,✓,,
V4,API e Web Service,V4.1,Segurança Genérica de Web Service,V4.1.3,"Verifique se qualquer campo de cabeçalho HTTP usado pela aplicação e definido por uma camada intermediária, como um balanceador de carga, um proxy web ou um serviço backend-for-frontend, não pode ser substituído (overridden) pelo usuário final. Exemplos de cabeçalhos podem incluir X-Real-IP, X-Forwarded-* ou X-User-ID.",,✓,✓,,
V4,API e Web Service,V4.1,Segurança Genérica de Web Service,V4.1.4,Verifique se apenas os métodos HTTP explicitamente suportados pela aplicação ou por sua API (incluindo OPTIONS durante requisições preflight) podem ser usados e se os métodos não utilizados estão bloqueados.,,,✓,,
V4,API e Web Service,V4.1,Segurança Genérica de Web Service,V4.1.5,"Verifique se assinaturas digitais por mensagem são usadas para fornecer garantia adicional, além das proteções de transporte, para requisições ou transações que são altamente sensíveis ou que atravessam vários sistemas.",,,✓,,
V4,API e Web Service,V4.2,Validação da Estrutura da Mensagem HTTP,V4.2.1,"Verifique se todos os componentes da aplicação (incluindo balanceadores de carga, firewalls e servidores de aplicação) determinam os limites das mensagens HTTP de entrada usando o mecanismo apropriado para a versão do HTTP, a fim de evitar falsificação de requisição HTTP (HTTP request smuggling). No HTTP/1.x, se um campo de cabeçalho Transfer-Encoding estiver presente, o cabeçalho Content-Length deve ser ignorado conforme a RFC 2616. Ao usar HTTP/2 ou HTTP/3, se um campo de cabeçalho Content-Length estiver presente, o receptor deve garantir que seja consistente com o comprimento dos frames DATA.",,✓,✓,,
V4,API e Web Service,V4.2,Validação da Estrutura da Mensagem HTTP,V4.2.2,"Verifique se, ao gerar mensagens HTTP, o campo de cabeçalho Content-Length não entra em conflito com o comprimento do conteúdo determinado pelo enquadramento (framing) do protocolo HTTP, a fim de evitar ataques de request smuggling.",,,✓,,
V4,API e Web Service,V4.2,Validação da Estrutura da Mensagem HTTP,V4.2.3,"Verifique se a aplicação não envia nem aceita mensagens HTTP/2 ou HTTP/3 com campos de cabeçalho específicos da conexão, como Transfer-Encoding, para evitar ataques de response splitting e injeção de cabeçalho.",,,✓,,
V4,API e Web Service,V4.2,Validação da Estrutura da Mensagem HTTP,V4.2.4,"Verifique se a aplicação aceita apenas requisições HTTP/2 e HTTP/3 onde os campos de cabeçalho e valores não contêm nenhuma sequência CR (\r), LF (\n) ou CRLF (\r\n), para evitar ataques de injeção de cabeçalho.",,,✓,,
